,,,Type,,Date,,Num,,P. O. #,,Name,,Terms,,Due Date,,Aging,,Open Balance
Current,,,,,,,,,,,,,,,,,,,
,,,Invoice,,04/13/2026,,24463,,302605005002,,F.E. Moran Inc.,,"5% 30, Net 45",,05/28/2026,,48,,505.77
,,,Invoice,,04/13/2026,,24478,,306371000006,,F.E. Moran Inc.,,"5% 30, Net 45",,05/28/2026,,48,,"1,083.78"
,,,Invoice,,04/13/2026,,24480,,306260000028,,F.E. Moran Inc.,,"5% 30, Net 45",,05/28/2026,,48,,"2,918.49"
,,,Invoice,,04/13/2026,,24481,,306260000032,,F.E. Moran Inc.,,"5% 30, Net 45",,05/28/2026,,48,,"5,821.02"
,,,Invoice,,04/14/2026,,24477,,61273,,Midwest Fire Supression,,"5% 30, Net 45",,05/29/2026,,47,,"12,858.96"
,,,Invoice,,04/14/2026,,24489,,111868-16372,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,05/29/2026,,47,,423.02
,,,Invoice,,04/14/2026,,24495,,39901-PO-3,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,05/29/2026,,47,,"5,072.87"
,,,Invoice,,04/15/2026,,24458,,306326000008,,F.E. Moran Inc.,,"5% 30, Net 45",,05/30/2026,,46,,"1,194.81"
,,,Invoice,,04/16/2026,,24492,,CFP24-0755,,Alpha Fire  - Chicago Fire,,Net 30,,05/16/2026,,45,,"2,360.54"
,,,Invoice,,04/17/2026,,24482,,111765-39480,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,06/01/2026,,44,,731.37
,,,Invoice,,04/17/2026,,24483,,111763-39480,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,06/01/2026,,44,,"2,101.86"
,,,Invoice,,04/17/2026,,24484,,111759-39480,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,06/01/2026,,44,,894.89
,,,Invoice,,04/17/2026,,24485,,111764-39480,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,06/01/2026,,44,,112.98
,,,Invoice,,04/17/2026,,24509,,39895-PO-10,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,06/01/2026,,44,,800.91
,,,Invoice,,04/17/2026,,24510,,111972-16404,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,06/01/2026,,44,,225.70
,,,Invoice,,04/17/2026,,24511,,39910-PO-01,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,06/01/2026,,44,,163.04
,,,Invoice,,04/20/2026,,24497D,,111788-39743,,Great Lakes Plumbing & Heating  Co.,,Net 30,,05/20/2026,,41,,"5,553.07"
,,,Invoice,,04/20/2026,,24516,,39910-PO-04,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,06/04/2026,,41,,"2,095.12"
,,,Invoice,,04/23/2026,,24532,,306326000016,,F.E. Moran Inc.,,"5% 30, Net 45",,06/07/2026,,38,,159.85
,,,Invoice,,04/23/2026,,24499,,111815-39721,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,06/07/2026,,38,,"3,446.35"
,,,Invoice,,04/23/2026,,24504,,111910-39200,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,06/07/2026,,38,,887.83
,,,Invoice,,04/23/2026,,24518,,112001-39743,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,06/07/2026,,38,,541.35
,,,Invoice,,04/23/2026,,24517,,61289,,Midwest Fire Supression,,"5% 30, Net 45",,06/07/2026,,38,,"4,892.03"
,,,Invoice,,04/24/2026,,24521,,306415000006,,F.E. Moran Inc.,,"5% 30, Net 45",,06/08/2026,,37,,"1,280.24"
,,,Invoice,,04/24/2026,,24515,,CFP24-2067,,Alpha Fire  - Chicago Fire,,Net 30,,05/24/2026,,37,,"2,989.77"
,,,Invoice,,04/24/2026,,24514,,CFP24-0755,,Alpha Fire  - Chicago Fire,,Net 30,,05/24/2026,,37,,"2,804.24"
,,,Invoice,,04/27/2026,,24505,,306411000004,,F.E. Moran Inc.,,"5% 30, Net 45",,06/11/2026,,34,,"3,516.49"
,,,Invoice,,04/29/2026,,24522,,306356000007,,F.E. Moran Inc.,,"5% 30, Net 45",,06/13/2026,,32,,"4,725.54"
,,,Invoice,,04/30/2026,,24544,,3221005673,,F.E. Moran Inc.,,"5% 30, Net 45",,06/14/2026,,31,,"13,078.20"
,,,Invoice,,04/30/2026,,24502,,111944-39200,,Great Lakes Plumbing & Heating  Co.,,"5% 30, Net 45",,06/14/2026,,31,,"18,966.23"
Total 31 - 60,,,,,,,,,,,,,,,,,,,"134,397.12"
61 - 90,,,,,,,,,,,,,,,,,,,
,,,Invoice,,03/13/2026,,24373D,,CFP24-0755,,Alpha Fire  - Chicago Fire,,Net 30,,04/12/2026,,79,,"2,389.90"
,,,Invoice,,03/20/2026,,24392,,CFP24-0755,,Alpha Fire  - Chicago Fire,,Net 30,,04/19/2026,,72,,"7,212.40"
,,,Invoice,,03/23/2026,,24389,,CFP24-0755,,Alpha Fire  - Chicago Fire,,Net 30,,04/22/2026,,69,,268.01
,,,Invoice,,03/26/2026,,24422,,3221005628,,F.E. Moran Inc.,,"5% 30, Net 45",,05/10/2026,,66,,"14,120.14"
Total 61 - 90,,,,,,,,,,,,,,,,,,,"23,990.45"
> 90,,,,,,,,,,,,,,,,,,,
,,,General Journal,,03/31/2011,,73,,,,Old System,,,,,,,,"184,017.13"
,,,General Journal,,04/30/2011,,34,,,,Old System,,,,,,,,"148,227.29"
,,,General Journal,,04/30/2011,,35,,,,Old System,,,,,,,,"-117,053.84"
,,,General Journal,,04/30/2011,,99,,,,Old System,,,,,,,,"-1,072.17"
,,,General Journal,,04/30/2011,,103,,,,Old System,,,,,,,,"-4,555.68"
,,,General Journal,,04/30/2011,,104,,,,Old System,,,,,,,,-724.14
,,,General Journal,,05/10/2011,,22,,,,Old System,,,,,,,,"-94,167.07"
,,,General Journal,,05/20/2011,,23,,,,Old System,,,,,,,,"-16,304.29"
,,,General Journal,,05/25/2011,,21,,,,Old System,,,,,,,,"-42,196.17"
,,,General Journal,,05/27/2011,,18,,,,Old System,,,,,,,,"-3,602.21"
,,,General Journal,,05/31/2011,,32,,,,Old System,,,,,,,,"135,308.24"
,,,General Journal,,05/31/2011,,33,,,,Old System,,,,,,,,"-1,788.72"
,,,General Journal,,06/09/2011,,19,,,,Old System,,,,,,,,"-2,637.95"
,,,General Journal,,06/10/2011,,17,,,,Old System,,,,,,,,"-74,109.54"
,,,General Journal,,06/10/2011,,20,,,,Old System,,,,,,,,"-4,212.55"
,,,General Journal,,06/23/2011,,28,,,,Old System,,,,,,,,-95.50
,,,General Journal,,06/24/2011,,24,,,,Old System,,,,,,,,"-33,279.84"
,,,General Journal,,06/28/2011,,25,,,,Old System,,,,,,,,-599.37
,,,General Journal,,06/30/2011,,27,,,,Old System,,,,,,,,"-4,067.35"
,,,General Journal,,06/30/2011,,64,,,,Old System,,,,,,,,"4,195.00"
,,,General Journal,,07/07/2011,,30,,,,Old System,,,,,,,,-807.95
,,,General Journal,,07/12/2011,,68,,,,Old System,,,,,,,,"-50,141.82"
